法人番号,会社名,都道府県,市区町村,番地,郵便番号,公式サイトURL,ECサイトURL,カートシステム,業種・取扱商品,代表者名,Instagram,X(Twitter)
3140001069035,株式会社ジブ,兵庫県,西宮市,山口町船坂３１０番地,6511423,https://jib.ne.jp/,https://fortunejib.stores.jp/,STORES,バッグ・アクセサリー（セイルクロス素材）,松下節子,@jib.co.ltd,@JIB_coltd
1140001074846,フラットデザイン株式会社,兵庫県,西宮市,戸田町５番１６号,6620916,http://www.flatdesign.co.jp/,http://flatdesign.shop-pro.jp/,カラーミーショップ,西宮市観光キャラクター・みやたんグッズ,不明,−,−
4140001069868,西宮食糧株式会社,兵庫県,西宮市,西宮浜３丁目１０番地,6620934,https://nishinomiya-syokuryou.co.jp/,https://nishinomiyasyokuryou.stores.jp/,STORES,食品（酒粕・甘酒）,山田文男,−,− (Facebook: nishinomiyasyokuryou)
4140001068787,株式会社コパクラフト,兵庫県,西宮市,能登町４番７号,6620838,https://www.amu-nishinomiya.com/,https://amunishinomiya.shop-pro.jp/,カラーミーショップ,ハンドメイドアクセサリー（ロボットチャーム・ネックレス）,不明,@amu___nishinomiya,−
4140001033642,ａｎｄ　Ｏｒｇａｎｉｃ株式会社,兵庫県,西宮市,甲子園七番町１９番１３号,6638177,https://andorganic.jp/,https://andorganic.ocnk.net/,おちゃのこネット,オーガニックシャンプー・コスメ,不明,−,@andorganic
3140001086600,株式会社シュゼット・ホールディングス,兵庫県,西宮市,久保町５番１６号,6620927,https://www.suzette.co.jp/,https://www.suzette-shop.jp/,ecbeing,洋菓子（アンリ・シャルパンティエ・シーキューブ・カサネオ）,蟻田剛毅,−,−
3140001140729,株式会社エルベラン,兵庫県,西宮市,相生町７番１２号,6620063,https://elberun.gift/,https://elberun-gift.com/,らくうるカート,洋菓子（クッキー・ケーキ・焼き菓子）,柿田衛二,@elberun1964_shukugawa,−
3140001069869,日本盛株式会社,兵庫県,西宮市,用海町４番５７号,6620921,https://www.nihonsakari.co.jp/,https://shop.nihonsakari.co.jp/shop/,futureshop,日本酒・化粧品・健康食品,（広報担当：森 望）,@nihonsakari_official,@sakarikouhou
6140001069420,辰馬本家酒造株式会社,兵庫県,西宮市,建石町２番１０号,6620943,https://www.hakushika.co.jp/,https://shop.hakushika.co.jp/,futureshop,日本酒（白鹿・黒松白鹿）,辰馬健仁,@hakushika_official,@THS_Sake
1011301015981,株式会社ルームセブンジャパン,兵庫県,西宮市,上大市４丁目１０番３６−４０２号,6638003,https://www.roomseven.co.jp/,https://oililyshop.jp/,MakeShop,子供服・雑貨（オイリリー・ルームセブン）,下間紀子,−,−
6140001073232,株式会社ビィー・プランニング,兵庫県,西宮市,苦楽園一番町１番２６−４０３号,6620083,https://www.beplanning.co.jp/,https://beplanning.base.shop/,BASE,デザイン雑貨（オリジナルノート・カード類）,達川正美,@beplanning_official,@beplanningTw
5140001072912,株式会社リンク,兵庫県,西宮市,若松町４番２号,6620035,https://link-1018.com/,https://link1018.ocnk.net/,おちゃのこネット,セレクトショップ（レディース・メンズ・キッズ衣料）,浅野修,−,−
